# UN member-state Wikipedia network -- built 2026-09-09
# Directed, unweighted: edge A -> B when A's article wikitext links to B's,
# counting only inline links from the article's OWN prose/infobox -- links
# injected by shared navigation templates (e.g. the UN navbox) are excluded.
# 193 nodes, 2220 directed edges.
# Manual addition (2026-09-21): Kenya -> {Ethiopia, Somalia, South_Sudan,
# Sudan, Tanzania, Uganda}. Kenya's intro sentence names all six as
# neighbors/border context in plain prose ("Kenya is bordered by South
# Sudan to the northwest, Ethiopia to the north, Somalia to the east...")
# without wikilinking any of them -- only "Lake Victoria" is bracketed in
# that sentence -- so the extraction rule correctly found zero out-edges
# for Kenya even though the source article clearly discusses all six.
# Added by hand rather than relaxing the extraction rule, which would
# require guessing at unlinked plain-text mentions article-wide.
#
# Manual addition (2026-09-22): Portugal -> {Brazil, Germany, Spain,
# United_Kingdom} and Luxembourg -> {Afghanistan, Albania, Austria,
# Belgium, Bosnia_and_Herzegovina, France, Germany, Italy, Japan,
# Montenegro, Netherlands, Portugal, Serbia, Spain, Switzerland,
# United_Kingdom, United_States}. Both articles had out-degree 0 for the
# same reason as Kenya: every country they mention -- bordering nations,
# colonial history, wars and treaties, trade partners, immigrant-origin
# countries -- is named in plain prose, never wikilinked. Found by
# scanning both articles' full wikitext (stripping <ref> citations,
# {{cite}}/{{sfnp}} templates, infobox flag-icon statistics tables, and
# image captions first, since a naive plain-text scan is mostly citation
# metadata and bibliography noise at this article length) for country
# names appearing outside [[double brackets]], then manually reviewing
# every hit for genuine substantive content. Included: bordering
# countries, named wars/treaties/historical rule, specific trade or
# demographic percentages, small named rankings (e.g. "second-largest
# investment fund centre, after the United States"). Excluded as
# incidental: open-ended comparison lists ("surpassed by the United
# States, Canada, Australia, ... and other small states like ...", which
# is what silently pulled in Australia/Canada/New_Zealand/Iceland/
# Monaco/San_Marino/Liechtenstein/Brunei on a first, less careful pass)
# and event-location mentions (Luxembourg exhibiting at an Expo "in
# Shanghai, China" is not a Luxembourg-China relationship; a photo
# caption naming "Helsinki, Finland" is not a Portugal-Finland one).
# source	target
Afghanistan	Bolivia
Afghanistan	Cambodia
Afghanistan	China
Afghanistan	Egypt
Afghanistan	Iran
Afghanistan	Nepal
Afghanistan	Pakistan
Afghanistan	Russia
Afghanistan	Sri_Lanka
Afghanistan	Tajikistan
Afghanistan	Turkmenistan
Afghanistan	Uzbekistan
Albania	Bosnia_and_Herzegovina
Albania	Germany
Albania	Greece
Albania	Italy
Albania	Montenegro
Albania	North_Macedonia
Albania	Romania
Albania	Turkey
Algeria	Chad
Algeria	Libya
Algeria	Mali
Algeria	Mauritania
Algeria	Morocco
Algeria	Niger
Algeria	Nigeria
Algeria	Tunisia
Andorra	Colombia
Andorra	France
Andorra	Peru
Andorra	Portugal
Andorra	San_Marino
Andorra	Spain
Angola	Brazil
Angola	China
Angola	Cuba
Angola	Czech_Republic
Angola	Democratic_Republic_of_the_Congo
Angola	Gabon
Angola	Ghana
Angola	Guinea
Angola	Lebanon
Angola	Mali
Angola	Morocco
Angola	Mozambique
Angola	Namibia
Angola	Niger
Angola	Nigeria
Angola	Portugal
Angola	Republic_of_the_Congo
Angola	South_Africa
Angola	Togo
Angola	United_States
Angola	Zambia
Antigua_and_Barbuda	Dominica
Antigua_and_Barbuda	Dominican_Republic
Antigua_and_Barbuda	Saint_Kitts_and_Nevis
Antigua_and_Barbuda	Venezuela
Argentina	Bolivia
Argentina	Bosnia_and_Herzegovina
Argentina	Brazil
Argentina	Chile
Argentina	Croatia
Argentina	Cyprus
Argentina	Dominican_Republic
Argentina	France
Argentina	Haiti
Argentina	Paraguay
Argentina	Peru
Argentina	Romania
Argentina	Russia
Argentina	United_States
Argentina	Uruguay
Argentina	Venezuela
Armenia	Azerbaijan
Armenia	Georgia_(country)
Armenia	Iran
Armenia	Nepal
Armenia	San_Marino
Armenia	Turkey
Australia	Kiribati
Australia	Luxembourg
Australia	Nauru
Australia	Tuvalu
Austria	Bosnia_and_Herzegovina
Austria	Czech_Republic
Austria	Denmark
Austria	Germany
Austria	Hungary
Austria	Iraq
Austria	Italy
Austria	Liechtenstein
