# UN member-state Wikipedia network -- built 2026-09-09
# All 193 UN member states from Wikipedia's Category:Member_states_of_the_United_Nations
# (redirects resolved; 2 miscategorized non-country pages excluded, see notebook Step 1).
# 193 nodes. node_id matches un_edges.tsv.
node_id	name	wikidata_id	url	description
Afghanistan	Afghanistan	Q889	https://en.wikipedia.org/wiki/Afghanistan	Afghanistan, officially the Islamic Emirate of Afghanistan, is a landlocked country located at the crossroads of Central and South Asia.
Albania	Albania	Q222	https://en.wikipedia.org/wiki/Albania	Albania, officially the Republic of Albania, is a country in Southeast Europe.
Algeria	Algeria	Q262	https://en.wikipedia.org/wiki/Algeria	Algeria, officially the People's Democratic Republic of Algeria, is a country in the Maghreb region of North Africa.
Andorra	Andorra	Q228	https://en.wikipedia.org/wiki/Andorra	Andorra, officially the Principality of Andorra, is a landlocked country on the Iberian Peninsula, in the eastern Pyrenees in southwestern Europe, bordered by France to the north and Spain to the south.
Angola	Angola	Q916	https://en.wikipedia.org/wiki/Angola	Angola, officially the Republic of Angola, is a country on the western coast of Southern Africa.
Antigua_and_Barbuda	Antigua and Barbuda	Q781	https://en.wikipedia.org/wiki/Antigua_and_Barbuda	Antigua and Barbuda is an archipelagic country in the Caribbean composed of Antigua, Barbuda, and dozens of other small islands.
Argentina	Argentina	Q414	https://en.wikipedia.org/wiki/Argentina	Argentina, officially the Argentine Republic, is a country in the far south of South America.
Armenia	Armenia	Q399	https://en.wikipedia.org/wiki/Armenia	Armenia, officially the Republic of Armenia, is a landlocked country in the Armenian highlands of West Asia.
Australia	Australia	Q408	https://en.wikipedia.org/wiki/Australia	Australia, officially the Commonwealth of Australia, is a country comprising the mainland of the Australian continent, the island of Tasmania and numerous smaller islands.
Austria	Austria	Q40	https://en.wikipedia.org/wiki/Austria	Austria, formally the Republic of Austria, is a landlocked country in Central Europe, lying in the Eastern Alps.
Azerbaijan	Azerbaijan	Q227	https://en.wikipedia.org/wiki/Azerbaijan	Azerbaijan, officially the Republic of Azerbaijan, is a transcontinental landlocked country at the boundary of Western Asia and Eastern Europe.
Bahrain	Bahrain	Q398	https://en.wikipedia.org/wiki/Bahrain	Bahrain, officially the Kingdom of Bahrain, is an island country in the eastern part of Arabian Peninsula in West Asia.
Bangladesh	Bangladesh	Q902	https://en.wikipedia.org/wiki/Bangladesh	Bangladesh, officially the People's Republic of Bangladesh, is a country in South Asia.
Barbados	Barbados	Q244	https://en.wikipedia.org/wiki/Barbados	Barbados is an island nation in the Caribbean located in the Atlantic Ocean.
Belarus	Belarus	Q184	https://en.wikipedia.org/wiki/Belarus	Belarus, officially the Republic of Belarus, is a landlocked country in Eastern Europe.
Belgium	Belgium	Q31	https://en.wikipedia.org/wiki/Belgium	Belgium, officially the Kingdom of Belgium, is a country in Northwestern Europe.
